"participant_id","noun_condition","voice","ir_cr","wr_acc_score","ir_rt","wr_rt"
262,"HH","Active",0.9375,0.5,1992.83333333333,853
262,"HH","Passive",0.9375,0.833333333333333,2184.16666666667,471
262,"HL","Active",0.4375,1,2269,486.5
262,"HL","Passive",0.770833333333333,0.8,2451,1077.5
262,"LH","Active",0.9375,0.833333333333333,1743.66666666667,897
262,"LH","Passive",0.9375,0.833333333333333,1897.16666666667,365.166666666667
262,"LL","Active",0.270833333333333,1,1545.5,287.5
262,"LL","Passive",0.770833333333333,0.6,2621.2,640.25
263,"HH","Active",0.65625,0.4,2173.2,794
263,"HH","Passive",0.65625,0.6,1790.8,472.25
263,"HL","Active",0.322916666666667,0.333333333333333,1892,1252.66666666667
263,"HL","Passive",0.322916666666667,1,2192,924.666666666667
263,"LH","Active",0.489583333333333,0.5,1569,932.666666666667
263,"LH","Passive",0.489583333333333,1,1488,1025
263,"LL","Active",0.489583333333333,0.5,1443,1099
263,"LL","Passive",0.822916666666667,0.5,1740.83333333333,459.6
264,"HH","Active",0.875,0.833333333333333,1457.66666666667,870
264,"HH","Passive",0.708333333333333,1,1179.2,868.8
264,"HL","Active",0.875,0.833333333333333,1126.83333333333,981.666666666667
264,"HL","Passive",0.875,0.833333333333333,1298.66666666667,1035.66666666667
264,"LH","Active",0.875,0.833333333333333,1259.5,1039.16666666667
264,"LH","Passive",0.875,1,1105,663.4
264,"LL","Active",0.708333333333333,0.8,1203.4,601.8
264,"LL","Passive",0.708333333333333,0.8,1075.2,722.4
266,"HH","Active",0.708333333333333,0.8,1134.2,819.5
266,"HH","Passive",0.708333333333333,0.4,1478,999.75
266,"HL","Active",0.708333333333333,0.8,1689.25,561
266,"HL","Passive",0.875,0.833333333333333,1198.16666666667,1466.66666666667
266,"LH","Active",0.541666666666667,0.5,1089.75,242.333333333333
266,"LH","Passive",0.875,0.833333333333333,1285,1070.4
266,"LL","Active",0.708333333333333,0.6,1428,618.6
266,"LL","Passive",0.875,0.833333333333333,1507,870.166666666667
267,"HH","Active",0.791666666666667,0.5,1471.16666666667,1561.8
267,"HH","Passive",0.791666666666667,1,2034.66666666667,1194.6
267,"HL","Active",0.791666666666667,0.833333333333333,1722.5,1005
267,"HL","Passive",0.625,0.6,1449.4,1856.33333333333
267,"LH","Active",0.625,0.8,1669.6,868.666666666667
267,"LH","Passive",0.791666666666667,0.666666666666667,1618.33333333333,360
267,"LL","Active",0.791666666666667,0.5,1890,432.666666666667
267,"LL","Passive",0.791666666666667,0.5,1667,2398.4
269,"HH","Active",0.96875,0.833333333333333,1215.33333333333,650.6
269,"HH","Passive",0.96875,1,1367.16666666667,999.333333333333
269,"HL","Active",0.635416666666667,1,1367,1049.66666666667
269,"HL","Passive",0.96875,0.833333333333333,1339.16666666667,1305.5
269,"LH","Active",0.96875,1,1236.66666666667,1000.8
269,"LH","Passive",0.46875,1,1353.33333333333,900.5
269,"LL","Active",0.635416666666667,1,2369.5,1643.5
269,"LL","Passive",0.96875,0.666666666666667,1258.33333333333,924.166666666667
270,"HH","Active",0.15625,1,1874,624
270,"HH","Passive",0.65625,1,1657.25,1717.25
270,"HL","Active",0.822916666666667,0.8,2313,1956.8
270,"HL","Passive",0.65625,1,1855.75,2153.75
270,"LH","Active",0.822916666666667,1,1744.6,2316.5
270,"LH","Passive",0.822916666666667,1,1798.4,2423.2
270,"LL","Active",0.65625,0.75,1958.5,1352
270,"LL","Passive",0.989583333333333,1,1662.2,868.333333333333
273,"HH","Active",0.4375,1,1167.66666666667,1560
273,"HH","Passive",0.4375,0.666666666666667,1793,1124.33333333333
273,"HL","Active",0.604166666666667,0.5,1096.75,994.666666666667
273,"HL","Passive",0.770833333333333,0.4,2118.6,414
273,"LH","Active",0.604166666666667,0.5,1447.33333333333,717.5
273,"LH","Passive",0.4375,0.666666666666667,2178,1215
